District,Crop,Season,Sowing_Start_Month,Sowing_End_Month,Harvesting_Start_Month,Harvesting_End_Month,Growth_Duration_Days,Water_Requirement,Suitable_Soil_Types,Best_Temperature_Range_C,Irrigation_Needed,Monsoon_Dependent
Ranchi,Rice,Kharif,June,July,October,November,116,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Dhanbad,Rice,Kharif,June,July,October,November,129,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Dumka,Rice,Kharif,June,July,October,November,124,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Bokaro,Rice,Kharif,June,July,October,November,120,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Chatra,Rice,Kharif,June,July,October,November,117,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Deoghar,Rice,Kharif,June,July,October,November,130,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
East Singhbhum,Rice,Kharif,June,July,October,November,116,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Garhwa,Rice,Kharif,June,July,October,November,128,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Giridih,Rice,Kharif,June,July,October,November,120,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Godda,Rice,Kharif,June,July,October,November,120,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Gumla,Rice,Kharif,June,July,October,November,130,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Hazaribagh,Rice,Kharif,June,July,October,November,113,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Jamtara,Rice,Kharif,June,July,October,November,117,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Khunti,Rice,Kharif,June,July,October,November,112,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Koderma,Rice,Kharif,June,July,October,November,130,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Latehar,Rice,Kharif,June,July,October,November,111,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Lohardaga,Rice,Kharif,June,July,October,November,121,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Pakur,Rice,Kharif,June,July,October,November,115,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Palamu,Rice,Kharif,June,July,October,November,111,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Ramgarh,Rice,Kharif,June,July,October,November,130,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Sahebganj,Rice,Kharif,June,July,October,November,110,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Saraikela-Kharsawan,Rice,Kharif,June,July,October,November,121,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Simdega,Rice,Kharif,June,July,October,November,121,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
West Singhbhum,Rice,Kharif,June,July,October,November,126,High,"Clay, Loamy, Alluvial",20-30,Rain-fed/Canal,Yes
Ranchi,Maize,Kharif,June,July,September,October,89,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
Dhanbad,Maize,Kharif,June,July,September,October,95,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
Dumka,Maize,Kharif,June,July,September,October,94,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
Bokaro,Maize,Kharif,June,July,September,October,94,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
Chatra,Maize,Kharif,June,July,September,October,98,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
Deoghar,Maize,Kharif,June,July,September,October,91,Medium,"Loamy, Red and Yellow, Sandy Loam",21-27,Rain-fed/Canal,Yes
