,,District,Commodity,Price (Rs/Quintal),Unit,Season
,,Bokaro,Arhar (Tur),6553.4,Rs/Quintal,Rabi
,,Bokaro,Gram (Chana),5667.38,Rs/Quintal,Rabi
,,Bokaro,Maize,1769.5,Rs/Quintal,Rabi
,,Bokaro,Mustard,6117.75,Rs/Quintal,Rabi
,,Bokaro,Onion,1957.85,Rs/Quintal,Rabi
,,Bokaro,Potato,1698.95,Rs/Quintal,Rabi
,,Bokaro,Rice (Paddy),1632.27,Rs/Quintal,Rabi
,,Bokaro,Sugarcane,312.15,Rs/Quintal,Rabi
,,Bokaro,Tomato,2254.86,Rs/Quintal,Rabi
,,Bokaro,Wheat,1676.38,Rs/Quintal,Rabi
,,Chatra,Arhar (Tur),6646.76,Rs/Quintal,Rabi
,,Chatra,Gram (Chana),5726.11,Rs/Quintal,Rabi
,,Chatra,Maize,1769.49,Rs/Quintal,Rabi
,,Chatra,Mustard,5998.18,Rs/Quintal,Rabi
,,Chatra,Onion,1965.48,Rs/Quintal,Rabi
,,Chatra,Potato,1626.84,Rs/Quintal,Rabi
,,Chatra,Rice (Paddy),1615.7,Rs/Quintal,Rabi
,,Chatra,Sugarcane,310.01,Rs/Quintal,Rabi
,,Chatra,Tomato,2261.06,Rs/Quintal,Rabi
,,Chatra,Wheat,1737.97,Rs/Quintal,Rabi
,,Deoghar,Arhar (Tur),6616.31,Rs/Quintal,Rabi
,,Deoghar,Gram (Chana),5759.35,Rs/Quintal,Rabi
,,Deoghar,Maize,1731.51,Rs/Quintal,Rabi
,,Deoghar,Mustard,6010.94,Rs/Quintal,Rabi
,,Deoghar,Onion,1978.1,Rs/Quintal,Rabi
,,Deoghar,Potato,1625.14,Rs/Quintal,Rabi
,,Deoghar,Rice (Paddy),1595.14,Rs/Quintal,Rabi
,,Deoghar,Sugarcane,304.79,Rs/Quintal,Rabi
,,Deoghar,Tomato,2205.74,Rs/Quintal,Rabi
,,Deoghar,Wheat,1725.25,Rs/Quintal,Rabi
,,Dhanbad,Arhar (Tur),6988.42,Rs/Quintal,Rabi
,,Dhanbad,Gram (Chana),6085.38,Rs/Quintal,Rabi
,,Dhanbad,Maize,1819.36,Rs/Quintal,Rabi
,,Dhanbad,Mustard,6352.61,Rs/Quintal,Rabi
,,Dhanbad,Onion,2073.45,Rs/Quintal,Rabi
,,Dhanbad,Potato,1683.65,Rs/Quintal,Rabi
,,Dhanbad,Rice (Paddy),1704.68,Rs/Quintal,Rabi
,,Dhanbad,Sugarcane,321.38,Rs/Quintal,Rabi
,,Dhanbad,Tomato,2272.69,Rs/Quintal,Rabi
,,Dhanbad,Wheat,1787.45,Rs/Quintal,Rabi
,,Dumka,Arhar (Tur),6261,Rs/Quintal,Rabi
,,Dumka,Gram (Chana),5442.92,Rs/Quintal,Rabi
,,Dumka,Maize,1663.53,Rs/Quintal,Rabi
,,Dumka,Mustard,5764.61,Rs/Quintal,Rabi
,,Dumka,Onion,1839.89,Rs/Quintal,Rabi
,,Dumka,Potato,1614.37,Rs/Quintal,Rabi
,,Dumka,Rice (Paddy),1567.14,Rs/Quintal,Rabi
,,Dumka,Sugarcane,296.5,Rs/Quintal,Rabi
,,Dumka,Tomato,2019.15,Rs/Quintal,Rabi
,,Dumka,Wheat,1623.35,Rs/Quintal,Rabi
,,East Singhbhum,Arhar (Tur),6513.68,Rs/Quintal,Rabi
,,East Singhbhum,Gram (Chana),5759.48,Rs/Quintal,Rabi
,,East Singhbhum,Maize,1775.31,Rs/Quintal,Rabi
,,East Singhbhum,Mustard,5990.6,Rs/Quintal,Rabi
,,East Singhbhum,Onion,1937.47,Rs/Quintal,Rabi
,,East Singhbhum,Potato,1687.26,Rs/Quintal,Rabi
,,East Singhbhum,Rice (Paddy),1610.31,Rs/Quintal,Rabi
,,East Singhbhum,Sugarcane,305.41,Rs/Quintal,Rabi
,,East Singhbhum,Tomato,2127.36,Rs/Quintal,Rabi
,,East Singhbhum,Wheat,1738.19,Rs/Quintal,Rabi
,,Garhwa,Arhar (Tur),6587.17,Rs/Quintal,Rabi
,,Garhwa,Gram (Chana),5704.69,Rs/Quintal,Rabi
,,Garhwa,Maize,1763.23,Rs/Quintal,Rabi
,,Garhwa,Mustard,6097.02,Rs/Quintal,Rabi
,,Garhwa,Onion,1926.03,Rs/Quintal,Rabi
,,Garhwa,Potato,1662.23,Rs/Quintal,Rabi
,,Garhwa,Rice (Paddy),1612.82,Rs/Quintal,Rabi
,,Garhwa,Sugarcane,305.52,Rs/Quintal,Rabi
,,Garhwa,Tomato,2124.34,Rs/Quintal,Rabi
,,Garhwa,Wheat,1738.28,Rs/Quintal,Rabi
,,Giridih,Arhar (Tur),6514.51,Rs/Quintal,Rabi
,,Giridih,Gram (Chana),5651.72,Rs/Quintal,Rabi
,,Giridih,Maize,1772.02,Rs/Quintal,Rabi
,,Giridih,Mustard,6079.41,Rs/Quintal,Rabi
,,Giridih,Onion,1998.48,Rs/Quintal,Rabi
,,Giridih,Potato,1688.09,Rs/Quintal,Rabi
,,Giridih,Rice (Paddy),1615.15,Rs/Quintal,Rabi
,,Giridih,Sugarcane,304.07,Rs/Quintal,Rabi
,,Giridih,Tomato,2253.4,Rs/Quintal,Rabi
,,Giridih,Wheat,1686.34,Rs/Quintal,Rabi
,,Godda,Arhar (Tur),6637.48,Rs/Quintal,Rabi
,,Godda,Gram (Chana),5745.79,Rs/Quintal,Rabi
,,Godda,Maize,1741.2,Rs/Quintal,Rabi
,,Godda,Mustard,6129.68,Rs/Quintal,Rabi
,,Godda,Onion,1954.63,Rs/Quintal,Rabi
,,Godda,Potato,1664.76,Rs/Quintal,Rabi
,,Godda,Rice (Paddy),1629.63,Rs/Quintal,Rabi
,,Godda,Sugarcane,303.4,Rs/Quintal,Rabi
,,Godda,Tomato,2146.55,Rs/Quintal,Rabi
,,Godda,Wheat,1670.21,Rs/Quintal,Rabi
,,Gumla,Arhar (Tur),6657.47,Rs/Quintal,Rabi
,,Gumla,Gram (Chana),5675.59,Rs/Quintal,Rabi
,,Gumla,Maize,1781.16,Rs/Quintal,Rabi
,,Gumla,Mustard,6129.06,Rs/Quintal,Rabi
,,Gumla,Onion,1996.98,Rs/Quintal,Rabi
,,Gumla,Potato,1679.53,Rs/Quintal,Rabi
,,Gumla,Rice (Paddy),1641.88,Rs/Quintal,Rabi
,,Gumla,Sugarcane,312.63,Rs/Quintal,Rabi
,,Gumla,Tomato,2172.52,Rs/Quintal,Rabi
